t1,value,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
18.0,2523818.0,14.0,15.0,20.0,13.0,19.0,19.0,20.0,19.0,20.0,13.0
19.0,2424119.0,15.0,16.0,21.0,15.0,21.0,21.0,22.0,20.0,22.0,15.0
21.0,2343257.0,17.0,18.0,24.0,17.0,22.0,23.0,24.0,22.0,24.0,18.0
22.0,2290309.0,19.0,20.0,25.0,19.0,24.0,24.0,26.0,24.0,26.0,20.0
23.0,2280378.0,19.0,20.0,26.0,20.0,25.0,26.0,26.0,26.0,26.0,22.0
23.0,2413389.0,20.0,21.0,26.0,20.0,25.0,25.0,26.0,26.0,26.0,22.0
23.0,2625546.0,21.0,21.0,24.0,19.0,25.0,23.0,23.0,24.0,25.0,22.0
23.0,2666569.0,19.0,19.0,20.0,19.0,21.0,21.0,21.0,20.0,22.0,19.0
23.0,2651401.0,18.0,19.0,18.0,18.0,19.0,19.0,18.0,19.0,19.0,18.0
23.0,2652233.0,17.0,18.0,18.0,17.0,18.0,18.0,16.0,18.0,18.0,22.0
22.0,2557876.0,18.0,17.0,19.0,16.0,18.0,18.0,17.0,20.0,18.0,20.0
24.0,2469976.0,16.0,18.0,18.0,16.0,17.0,19.0,17.0,22.0,18.0,19.0
24.0,2367602.0,14.0,15.0,19.0,15.0,17.0,18.0,19.0,21.0,18.0,19.0
20.0,2245989.0,15.0,16.0,19.0,16.0,17.0,18.0,18.0,20.0,17.0,18.0
19.0,2195317.0,16.0,16.0,19.0,17.0,18.0,18.0,18.0,20.0,19.0,17.0
20.0,2135622.0,16.0,16.0,19.0,16.0,19.0,18.0,19.0,20.0,19.0,17.0
19.0,2229933.0,14.0,15.0,20.0,17.0,18.0,18.0,19.0,20.0,19.0,19.0
19.0,2280789.0,17.0,17.0,20.0,17.0,18.0,19.0,19.0,20.0,19.0,19.0
21.0,2386141.0,20.0,17.0,20.0,16.0,20.0,20.0,20.0,20.0,22.0,21.0
26.0,2516066.0,29.0,18.0,21.0,18.0,21.0,20.0,20.0,20.0,22.0,27.0
26.0,2516476.0,28.0,20.0,24.0,18.0,21.0,21.0,20.0,20.0,22.0,28.0
27.0,2383876.0,25.0,20.0,26.0,22.0,22.0,22.0,25.0,22.0,24.0,26.0
32.0,2233451.0,29.0,24.0,30.0,27.0,27.0,27.0,28.0,27.0,28.0,30.0
35.0,2140187.0,33.0,28.0,36.0,33.0,33.0,32.0,36.0,31.0,34.0,35.0
39.0,2013878.0,37.0,32.0,40.0,37.0,38.0,36.0,39.0,34.0,39.0,42.0
41.0,1881458.0,44.0,36.0,42.0,39.0,44.0,41.0,43.0,39.0,45.0,46.0
44.0,1823307.0,48.0,38.0,45.0,40.0,48.0,45.0,45.0,44.0,48.0,48.0
46.0,1756886.0,48.0,40.0,48.0,41.0,50.0,48.0,49.0,47.0,51.0,47.0
46.0,1743723.0,49.0,41.0,49.0,42.0,52.0,51.0,51.0,49.0,52.0,48.0
46.0,1799219.0,51.0,41.0,49.0,41.0,50.0,49.0,49.0,49.0,51.0,50.0
44.0,2086187.0,48.0,40.0,46.0,39.0,45.0,43.0,46.0,46.0,46.0,51.0
42.0,2162216.0,43.0,39.0,40.0,36.0,43.0,39.0,40.0,43.0,44.0,46.0
43.0,2164868.0,43.0,37.0,39.0,33.0,40.0,37.0,36.0,41.0,41.0,44.0
38.0,2137274.0,43.0,38.0,39.0,33.0,40.0,39.0,35.0,40.0,41.0,43.0
36.0,2035048.0,43.0,38.0,41.0,32.0,40.0,39.0,41.0,41.0,43.0,45.0
38.0,1951585.0,43.0,37.0,43.0,34.0,40.0,41.0,44.0,41.0,44.0,45.0
45.0,1779279.0,40.0,37.0,39.0,34.0,39.0,43.0,41.0,39.0,42.0,45.0
45.0,1664954.0,40.0,37.0,37.0,35.0,37.0,41.0,38.0,37.0,38.0,45.0
44.0,1622795.0,41.0,37.0,36.0,37.0,37.0,39.0,31.0,38.0,36.0,47.0
43.0,1609345.0,39.0,33.0,36.0,33.0,35.0,38.0,31.0,38.0,34.0,46.0
43.0,1617642.0,38.0,28.0,35.0,30.0,33.0,38.0,30.0,38.0,34.0,44.0
42.0,1695055.0,38.0,28.0,34.0,29.0,33.0,39.0,34.0,37.0,35.0,40.0
41.0,1778673.0,35.0,36.0,33.0,31.0,33.0,39.0,34.0,37.0,34.0,37.0
41.0,1976085.0,33.0,38.0,32.0,33.0,31.0,37.0,34.0,37.0,33.0,36.0
41.0,2066346.0,31.0,39.0,32.0,35.0,31.0,37.0,32.0,36.0,32.0,35.0
41.0,1990386.0,31.0,40.0,33.0,34.0,29.0,37.0,32.0,36.0,31.0,31.0
47.0,1861590.0,35.0,39.0,41.0,41.0,38.0,43.0,39.0,40.0,40.0,36.0
51.0,1760619.0,39.0,45.0,47.0,48.0,44.0,48.0,46.0,44.0,45.0,42.0
55.0,1643209.0,44.0,49.0,53.0,52.0,50.0,54.0,52.0,50.0,51.0,48.0
57.0,1563182.0,50.0,51.0,59.0,56.0,55.0,59.0,56.0,55.0,55.0,55.0
60.0,1500192.0,57.0,55.0,62.0,60.0,60.0,61.0,62.0,59.0,60.0,59.0
60.0,1448862.0,58.0,57.0,63.0,61.0,60.0,63.0,63.0,60.0,61.0,61.0
57.0,1456131.0,59.0,57.0,63.0,61.0,60.0,63.0,62.0,61.0,62.0,60.0
53.0,1519302.0,58.0,56.0,61.0,58.0,60.0,62.0,62.0,60.0,61.0,59.0
50.0,1750675.0,55.0,52.0,58.0,51.0,56.0,55.0,60.0,57.0,58.0,58.0
49.0,1825090.0,53.0,49.0,55.0,47.0,54.0,55.0,58.0,55.0,56.0,57.0
49.0,1799066.0,54.0,48.0,51.0,46.0,56.0,57.0,59.0,53.0,57.0,55.0
51.0,1766474.0,59.0,44.0,50.0,47.0,55.0,56.0,55.0,53.0,56.0,58.0
50.0,1669526.0,58.0,45.0,51.0,48.0,53.0,55.0,54.0,52.0,55.0,58.0
52.0,1614207.0,52.0,48.0,51.0,49.0,53.0,54.0,53.0,55.0,54.0,54.0
54.0,1438771.0,52.0,47.0,52.0,47.0,53.0,53.0,53.0,54.0,54.0,53.0
55.0,1335163.0,52.0,45.0,53.0,48.0,52.0,53.0,53.0,54.0,54.0,54.0
56.0,1280866.0,52.0,47.0,55.0,51.0,51.0,51.0,52.0,53.0,53.0,54.0
57.0,1255839.0,52.0,50.0,56.0,52.0,52.0,52.0,54.0,53.0,53.0,54.0
56.0,1255070.0,52.0,50.0,56.0,52.0,52.0,52.0,54.0,53.0,54.0,54.0
58.0,1278262.0,52.0,52.0,56.0,52.0,53.0,54.0,55.0,54.0,55.0,54.0
56.0,1316854.0,53.0,52.0,56.0,54.0,54.0,55.0,54.0,54.0,55.0,54.0
56.0,1449875.0,53.0,54.0,55.0,56.0,54.0,54.0,56.0,54.0,56.0,54.0
58.0,1547249.0,54.0,55.0,57.0,58.0,55.0,55.0,57.0,55.0,56.0,54.0
58.0,1565242.0,55.0,54.0,58.0,58.0,56.0,55.0,57.0,55.0,56.0,55.0
58.0,1591528.0,56.0,55.0,61.0,58.0,58.0,57.0,60.0,56.0,59.0,56.0
58.0,1585056.0,57.0,56.0,63.0,59.0,59.0,59.0,63.0,58.0,60.0,56.0
62.0,1541538.0,58.0,57.0,65.0,61.0,62.0,61.0,64.0,60.0,62.0,59.0
62.0,1510989.0,56.0,59.0,66.0,63.0,62.0,63.0,66.0,61.0,63.0,56.0
63.0,1480455.0,52.0,60.0,67.0,63.0,60.0,64.0,66.0,62.0,62.0,54.0
62.0,1457044.0,48.0,60.0,66.0,62.0,60.0,64.0,66.0,59.0,61.0,51.0
59.0,1468481.0,47.0,60.0,65.0,64.0,61.0,60.0,65.0,56.0,61.0,50.0
61.0,1528128.0,44.0,59.0,65.0,63.0,55.0,57.0,62.0,55.0,55.0,46.0
59.0,1707773.0,40.0,59.0,66.0,60.0,51.0,56.0,60.0,54.0,52.0,42.0
60.0,1766962.0,37.0,57.0,61.0,53.0,49.0,54.0,56.0,52.0,51.0,37.0
56.0,1795058.0,34.0,51.0,55.0,53.0,47.0,50.0,56.0,46.0,48.0,35.0
53.0,1797073.0,34.0,48.0,55.0,51.0,44.0,47.0,54.0,42.0,46.0,33.0
47.0,1776978.0,32.0,46.0,54.0,45.0,42.0,42.0,52.0,38.0,43.0,32.0
44.0,1763499.0,31.0,43.0,51.0,41.0,42.0,38.0,47.0,36.0,42.0,31.0
40.0,1667063.0,30.0,40.0,44.0,40.0,40.0,37.0,43.0,36.0,39.0,29.0
40.0,1608759.0,30.0,38.0,42.0,38.0,38.0,36.0,39.0,34.0,37.0,29.0
40.0,1568841.0,28.0,38.0,40.0,38.0,36.0,34.0,37.0,34.0,36.0,27.0
38.0,1576483.0,28.0,37.0,40.0,37.0,34.0,33.0,37.0,32.0,35.0,27.0
38.0,1589174.0,28.0,36.0,38.0,35.0,34.0,33.0,36.0,32.0,34.0,27.0
37.0,1643366.0,28.0,35.0,37.0,34.0,33.0,32.0,35.0,32.0,33.0,27.0
36.0,1671326.0,26.0,34.0,36.0,33.0,31.0,31.0,35.0,31.0,32.0,26.0
36.0,1777671.0,26.0,33.0,34.0,33.0,31.0,31.0,33.0,31.0,31.0,26.0
35.0,1919302.0,26.0,32.0,34.0,31.0,31.0,30.0,33.0,31.0,31.0,26.0
34.0,2029117.0,25.0,31.0,33.0,31.0,30.0,30.0,33.0,30.0,30.0,26.0
36.0,2055007.0,26.0,31.0,34.0,32.0,31.0,31.0,33.0,30.0,32.0,26.0
36.0,2006193.0,27.0,31.0,35.0,33.0,33.0,31.0,35.0,31.0,33.0,26.0
36.0,1939812.0,28.0,32.0,36.0,33.0,34.0,34.0,35.0,32.0,34.0,26.0
36.0,1876579.0,29.0,34.0,36.0,35.0,35.0,34.0,36.0,32.0,35.0,28.0
36.0,1815363.0,30.0,33.0,36.0,35.0,35.0,35.0,36.0,32.0,35.0,29.0
36.0,1811649.0,30.0,34.0,36.0,35.0,35.0,33.0,36.0,32.0,35.0,29.0
35.0,1828203.0,30.0,34.0,36.0,33.0,35.0,33.0,36.0,32.0,35.0,29.0
34.0,1885253.0,30.0,33.0,36.0,33.0,34.0,32.0,35.0,31.0,35.0,29.0
34.0,2017407.0,29.0,32.0,35.0,31.0,33.0,31.0,35.0,31.0,34.0,29.0
35.0,2018372.0,27.0,31.0,35.0,31.0,31.0,31.0,34.0,30.0,32.0,27.0
33.0,1995738.0,24.0,31.0,34.0,30.0,30.0,29.0,33.0,29.0,31.0,24.0
33.0,2017093.0,24.0,31.0,33.0,31.0,30.0,28.0,33.0,28.0,30.0,22.0
31.0,2010577.0,22.0,30.0,33.0,29.0,29.0,27.0,31.0,25.0,29.0,20.0
31.0,2047075.0,21.0,30.0,31.0,28.0,28.0,25.0,31.0,23.0,28.0,19.0
31.0,1974291.0,20.0,29.0,31.0,28.0,26.0,24.0,30.0,23.0,27.0,19.0
31.0,1900848.0,20.0,28.0,31.0,27.0,26.0,23.0,28.0,22.0,26.0,20.0
31.0,1869624.0,19.0,27.0,31.0,26.0,24.0,22.0,28.0,21.0,24.0,19.0
30.0,1863030.0,19.0,27.0,31.0,25.0,25.0,22.0,28.0,22.0,24.0,19.0
31.0,1881756.0,18.0,26.0,31.0,26.0,24.0,22.0,29.0,22.0,23.0,19.0
30.0,1916351.0,19.0,26.0,30.0,24.0,25.0,23.0,28.0,23.0,23.0,17.0
29.0,1913565.0,18.0,25.0,30.0,24.0,24.0,23.0,28.0,22.0,23.0,15.0
29.0,2024372.0,17.0,25.0,30.0,23.0,24.0,22.0,28.0,21.0,23.0,17.0
28.0,2168901.0,19.0,24.0,30.0,23.0,25.0,21.0,27.0,20.0,24.0,15.0
28.0,2228528.0,19.0,25.0,30.0,24.0,24.0,21.0,27.0,20.0,23.0,16.0
28.0,2156709.0,21.0,24.0,31.0,26.0,26.0,25.0,28.0,26.0,24.0,19.0
28.0,2040390.0,22.0,26.0,32.0,28.0,27.0,28.0,30.0,27.0,26.0,20.0
31.0,1954209.0,24.0,28.0,33.0,30.0,29.0,30.0,33.0,29.0,29.0,24.0
31.0,1852591.0,25.0,29.0,34.0,31.0,30.0,32.0,35.0,32.0,30.0,26.0
31.0,1764469.0,27.0,30.0,35.0,31.0,31.0,33.0,35.0,32.0,32.0,27.0
31.0,1697386.0,29.0,31.0,35.0,31.0,33.0,34.0,35.0,32.0,33.0,28.0
31.0,1665442.0,32.0,31.0,35.0,31.0,34.0,35.0,35.0,33.0,34.0,30.0
31.0,1741922.0,32.0,32.0,34.0,31.0,32.0,34.0,33.0,32.0,33.0,32.0
31.0,1929240.0,30.0,30.0,32.0,28.0,31.0,29.0,30.0,31.0,31.0,31.0
29.0,2001759.0,27.0,29.0,31.0,28.0,28.0,28.0,30.0,28.0,28.0,29.0
29.0,2030214.0,24.0,28.0,31.0,27.0,28.0,26.0,28.0,26.0,27.0,26.0
29.0,2055916.0,22.0,27.0,30.0,25.0,26.0,23.0,28.0,24.0,26.0,23.0
29.0,2055696.0,21.0,26.0,30.0,25.0,26.0,23.0,28.0,22.0,26.0,21.0
29.0,2084488.0,21.0,26.0,29.0,24.0,26.0,22.0,27.0,22.0,25.0,19.0
30.0,1981820.0,22.0,25.0,29.0,24.0,26.0,21.0,28.0,24.0,26.0,19.0
30.0,1922241.0,21.0,25.0,29.0,23.0,26.0,23.0,28.0,23.0,26.0,19.0
30.0,1898396.0,21.0,24.0,30.0,23.0,26.0,23.0,28.0,22.0,25.0,18.0
30.0,1895878.0,21.0,25.0,30.0,23.0,26.0,23.0,28.0,22.0,25.0,17.0
30.0,1900278.0,21.0,25.0,31.0,25.0,26.0,23.0,28.0,22.0,25.0,19.0
30.0,1920815.0,22.0,25.0,31.0,26.0,26.0,23.0,29.0,22.0,26.0,18.0
32.0,1892205.0,22.0,26.0,32.0,27.0,27.0,23.0,30.0,22.0,27.0,19.0
32.0,1963615.0,23.0,27.0,32.0,28.0,27.0,23.0,30.0,22.0,27.0,19.0
32.0,2078999.0,23.0,27.0,32.0,29.0,27.0,23.0,30.0,22.0,27.0,20.0
31.0,2211910.0,23.0,28.0,31.0,30.0,27.0,25.0,30.0,23.0,27.0,20.0
31.0,2271034.0,23.0,28.0,30.0,30.0,27.0,26.0,30.0,24.0,27.0,21.0
31.0,2238883.0,25.0,28.0,29.0,30.0,27.0,26.0,29.0,25.0,28.0,21.0
31.0,2153783.0,27.0,29.0,30.0,30.0,28.0,28.0,30.0,27.0,29.0,23.0
31.0,2060862.0,29.0,29.0,30.0,30.0,30.0,28.0,30.0,30.0,30.0,27.0
31.0,1987903.0,32.0,30.0,30.0,31.0,32.0,30.0,32.0,31.0,33.0,29.0
29.0,1971079.0,33.0,30.0,30.0,30.0,34.0,33.0,32.0,33.0,35.0,30.0
29.0,1973379.0,35.0,30.0,30.0,31.0,35.0,34.0,34.0,33.0,36.0,30.0
29.0,2018239.0,35.0,31.0,32.0,31.0,35.0,34.0,34.0,32.0,36.0,30.0
31.0,2164078.0,32.0,31.0,31.0,32.0,33.0,32.0,34.0,32.0,34.0,30.0
31.0,2194956.0,29.0,31.0,31.0,33.0,30.0,32.0,34.0,32.0,30.0,30.0
32.0,2189051.0,28.0,31.0,28.0,33.0,29.0,31.0,32.0,31.0,29.0,30.0
32.0,2149728.0,28.0,31.0,27.0,33.0,28.0,31.0,32.0,31.0,29.0,30.0
33.0,2068927.0,26.0,31.0,26.0,31.0,28.0,31.0,33.0,31.0,28.0,29.0
31.0,2028123.0,27.0,31.0,28.0,32.0,28.0,31.0,32.0,30.0,28.0,29.0
31.0,1911514.0,31.0,31.0,29.0,31.0,30.0,31.0,30.0,29.0,29.0,30.0
33.0,1817340.0,29.0,31.0,29.0,31.0,29.0,29.0,30.0,29.0,28.0,30.0
32.0,1830289.0,29.0,31.0,26.0,31.0,30.0,30.0,29.0,32.0,29.0,29.0
31.0,1845510.0,28.0,30.0,24.0,31.0,27.0,30.0,27.0,31.0,29.0,28.0
30.0,1865606.0,27.0,29.0,25.0,29.0,28.0,30.0,30.0,31.0,28.0,27.0
31.0,1933042.0,24.0,29.0,25.0,29.0,25.0,29.0,31.0,30.0,27.0,26.0
30.0,1977295.0,24.0,29.0,23.0,28.0,27.0,29.0,30.0,30.0,28.0,26.0
30.0,2113282.0,24.0,28.0,27.0,27.0,27.0,28.0,31.0,29.0,27.0,24.0
30.0,2215653.0,23.0,27.0,26.0,26.0,26.0,28.0,29.0,29.0,27.0,24.0
29.0,2251561.0,23.0,26.0,28.0,25.0,27.0,28.0,29.0,27.0,27.0,21.0
30.0,2231734.0,25.0,25.0,30.0,25.0,30.0,29.0,33.0,29.0,30.0,25.0
30.0,2173284.0,25.0,25.0,32.0,26.0,31.0,29.0,34.0,30.0,32.0,25.0
30.0,2117481.0,28.0,26.0,33.0,27.0,33.0,31.0,34.0,31.0,34.0,27.0
29.0,2032293.0,28.0,27.0,34.0,28.0,34.0,34.0,35.0,32.0,35.0,27.0
30.0,1950342.0,30.0,28.0,34.0,29.0,35.0,34.0,35.0,33.0,36.0,29.0
31.0,1909868.0,31.0,29.0,35.0,29.0,37.0,34.0,37.0,33.0,37.0,29.0
31.0,1922699.0,33.0,29.0,35.0,29.0,37.0,36.0,37.0,34.0,38.0,31.0
31.0,2029260.0,32.0,29.0,35.0,29.0,37.0,34.0,37.0,34.0,38.0,31.0
29.0,2311469.0,30.0,28.0,32.0,27.0,33.0,30.0,33.0,31.0,34.0,27.0
29.0,2386525.0,25.0,28.0,24.0,26.0,27.0,29.0,28.0,31.0,28.0,26.0
28.0,2398921.0,25.0,27.0,22.0,25.0,26.0,28.0,25.0,27.0,27.0,26.0
28.0,2376914.0,21.0,25.0,22.0,23.0,24.0,27.0,24.0,25.0,25.0,23.0
28.0,2278297.0,20.0,24.0,19.0,22.0,23.0,27.0,23.0,24.0,23.0,21.0
26.0,2233431.0,19.0,24.0,18.0,22.0,22.0,25.0,24.0,24.0,23.0,18.0
25.0,2110405.0,18.0,24.0,17.0,20.0,24.0,22.0,24.0,21.0,23.0,17.0
23.0,2048636.0,17.0,22.0,16.0,21.0,23.0,21.0,19.0,20.0,21.0,18.0
23.0,2039431.0,17.0,20.0,17.0,20.0,21.0,20.0,19.0,19.0,20.0,17.0
19.0,2074653.0,16.0,20.0,16.0,20.0,20.0,20.0,19.0,19.0,20.0,15.0
18.0,2119902.0,16.0,18.0,15.0,18.0,19.0,19.0,22.0,18.0,19.0,15.0
19.0,2197784.0,16.0,20.0,15.0,18.0,19.0,19.0,18.0,18.0,19.0,15.0
19.0,2253087.0,16.0,19.0,13.0,17.0,19.0,18.0,18.0,17.0,18.0,15.0
16.0,2414432.0,15.0,15.0,13.0,17.0,17.0,18.0,17.0,17.0,17.0,15.0
16.0,2493572.0,14.0,14.0,13.0,17.0,17.0,18.0,17.0,17.0,16.0,15.0
16.0,2463479.0,15.0,15.0,14.0,18.0,18.0,18.0,18.0,17.0,17.0,15.0
25.0,2322508.0,21.0,17.0,21.0,22.0,26.0,23.0,26.0,24.0,25.0,21.0
28.0,2191407.0,23.0,21.0,28.0,26.0,28.0,28.0,31.0,27.0,28.0,25.0
30.0,2065430.0,27.0,26.0,32.0,28.0,31.0,30.0,34.0,29.0,32.0,31.0
32.0,1960625.0,31.0,28.0,34.0,31.0,34.0,34.0,35.0,32.0,35.0,33.0
31.0,1868122.0,34.0,29.0,36.0,32.0,36.0,36.0,37.0,35.0,37.0,37.0
33.0,1829526.0,37.0,32.0,35.0,34.0,38.0,37.0,40.0,36.0,40.0,38.0
31.0,1853265.0,41.0,33.0,36.0,35.0,39.0,39.0,40.0,37.0,40.0,42.0
31.0,1956844.0,42.0,33.0,35.0,33.0,38.0,38.0,39.0,37.0,39.0,41.0
29.0,2205151.0,39.0,32.0,34.0,31.0,35.0,36.0,36.0,36.0,36.0,39.0
29.0,2259439.0,36.0,30.0,32.0,29.0,33.0,32.0,34.0,35.0,35.0,38.0
29.0,2239747.0,36.0,30.0,31.0,29.0,32.0,34.0,33.0,35.0,34.0,37.0
30.0,2186497.0,34.0,30.0,30.0,30.0,31.0,35.0,33.0,35.0,33.0,35.0
30.0,2084745.0,32.0,31.0,30.0,30.0,32.0,35.0,33.0,35.0,34.0,35.0
30.0,2013516.0,32.0,31.0,31.0,31.0,33.0,35.0,33.0,35.0,34.0,34.0
33.0,1853037.0,32.0,31.0,32.0,31.0,33.0,35.0,34.0,35.0,35.0,32.0
33.0,1764514.0,31.0,31.0,33.0,31.0,33.0,35.0,33.0,35.0,34.0,32.0
33.0,1727623.0,32.0,32.0,33.0,31.0,33.0,36.0,35.0,36.0,35.0,34.0
33.0,1705956.0,31.0,33.0,34.0,33.0,33.0,36.0,35.0,36.0,35.0,35.0
35.0,1714613.0,36.0,33.0,34.0,33.0,34.0,37.0,36.0,36.0,36.0,37.0
35.0,1765210.0,35.0,33.0,35.0,34.0,33.0,37.0,37.0,36.0,36.0,33.0
35.0,1792294.0,37.0,33.0,35.0,34.0,35.0,37.0,37.0,36.0,36.0,34.0
35.0,1915175.0,36.0,34.0,35.0,35.0,34.0,37.0,37.0,35.0,36.0,39.0
36.0,1974037.0,34.0,33.0,35.0,34.0,33.0,38.0,37.0,36.0,35.0,40.0
36.0,1971976.0,35.0,34.0,36.0,35.0,33.0,38.0,37.0,36.0,35.0,41.0
38.0,1936091.0,41.0,35.0,37.0,37.0,39.0,39.0,42.0,38.0,40.0,45.0
39.0,1864574.0,45.0,36.0,42.0,41.0,45.0,45.0,46.0,41.0,46.0,49.0
43.0,1777230.0,50.0,39.0,46.0,44.0,51.0,51.0,51.0,47.0,53.0,51.0
46.0,1697220.0,51.0,44.0,48.0,45.0,54.0,51.0,55.0,49.0,55.0,53.0
49.0,1616324.0,52.0,46.0,51.0,47.0,56.0,56.0,60.0,54.0,57.0,52.0
50.0,1552129.0,52.0,48.0,54.0,49.0,57.0,59.0,59.0,57.0,58.0,53.0
51.0,1542986.0,52.0,51.0,54.0,50.0,58.0,61.0,59.0,56.0,58.0,52.0
47.0,1625537.0,51.0,47.0,54.0,49.0,57.0,57.0,59.0,55.0,58.0,51.0
43.0,1841852.0,50.0,45.0,51.0,46.0,53.0,55.0,54.0,54.0,54.0,48.0
40.0,1899333.0,50.0,44.0,48.0,44.0,52.0,50.0,51.0,49.0,53.0,48.0
39.0,1894986.0,49.0,41.0,47.0,43.0,51.0,49.0,52.0,49.0,53.0,46.0
40.0,1842696.0,48.0,40.0,47.0,42.0,50.0,48.0,52.0,50.0,53.0,44.0
40.0,1749591.0,47.0,42.0,47.0,43.0,50.0,47.0,53.0,49.0,52.0,41.0
44.0,1683449.0,43.0,40.0,46.0,42.0,47.0,48.0,52.0,49.0,50.0,39.0
46.0,1542048.0,40.0,41.0,46.0,42.0,46.0,48.0,52.0,48.0,48.0,41.0
46.0,1486596.0,39.0,40.0,45.0,42.0,46.0,47.0,51.0,46.0,46.0,36.0
46.0,1467400.0,36.0,39.0,45.0,41.0,42.0,43.0,50.0,43.0,43.0,34.0
44.0,1470001.0,35.0,40.0,44.0,39.0,44.0,40.0,45.0,41.0,42.0,33.0
43.0,1504677.0,34.0,38.0,41.0,36.0,42.0,38.0,38.0,40.0,40.0,31.0
40.0,1572921.0,33.0,36.0,39.0,34.0,40.0,36.0,37.0,36.0,39.0,32.0
38.0,1619383.0,34.0,33.0,38.0,33.0,39.0,36.0,37.0,35.0,37.0,35.0
37.0,1775446.0,36.0,31.0,39.0,31.0,40.0,33.0,37.0,34.0,39.0,36.0
37.0,1860048.0,37.0,32.0,36.0,29.0,40.0,32.0,34.0,34.0,39.0,36.0
36.0,1885662.0,39.0,31.0,39.0,31.0,42.0,32.0,37.0,35.0,41.0,36.0
44.0,1843113.0,39.0,30.0,46.0,36.0,44.0,39.0,45.0,39.0,44.0,37.0
46.0,1756521.0,43.0,37.0,50.0,43.0,49.0,45.0,51.0,43.0,48.0,42.0
47.0,1675474.0,46.0,44.0,55.0,48.0,52.0,48.0,56.0,47.0,53.0,46.0
51.0,1596763.0,50.0,47.0,58.0,49.0,54.0,51.0,60.0,50.0,55.0,50.0
51.0,1540441.0,51.0,48.0,59.0,50.0,56.0,56.0,61.0,53.0,57.0,52.0
50.0,1526878.0,52.0,49.0,59.0,49.0,58.0,56.0,60.0,53.0,59.0,52.0
48.0,1544081.0,52.0,48.0,58.0,47.0,57.0,55.0,61.0,53.0,58.0,52.0
47.0,1636402.0,52.0,48.0,56.0,46.0,55.0,54.0,59.0,53.0,57.0,51.0
46.0,1803154.0,50.0,45.0,51.0,49.0,52.0,50.0,55.0,50.0,54.0,50.0
45.0,1837283.0,49.0,43.0,50.0,44.0,50.0,50.0,53.0,49.0,52.0,50.0
44.0,1832253.0,47.0,41.0,49.0,50.0,50.0,50.0,52.0,48.0,51.0,48.0
43.0,1774218.0,46.0,41.0,47.0,47.0,50.0,48.0,50.0,48.0,50.0,48.0
43.0,1684492.0,47.0,40.0,47.0,48.0,50.0,46.0,49.0,46.0,50.0,47.0
46.0,1646180.0,43.0,40.0,47.0,51.0,47.0,46.0,49.0,46.0,48.0,45.0
45.0,1507407.0,43.0,38.0,46.0,44.0,45.0,45.0,47.0,45.0,46.0,46.0
44.0,1423672.0,42.0,38.0,46.0,44.0,43.0,44.0,47.0,44.0,44.0,46.0
45.0,1373638.0,42.0,40.0,44.0,50.0,41.0,45.0,47.0,42.0,43.0,46.0
43.0,1365814.0,43.0,39.0,41.0,44.0,41.0,44.0,44.0,43.0,42.0,47.0
39.0,1386760.0,44.0,39.0,39.0,43.0,41.0,41.0,38.0,42.0,41.0,47.0
38.0,1435766.0,43.0,36.0,37.0,41.0,39.0,39.0,38.0,40.0,40.0,47.0
37.0,1455994.0,41.0,38.0,36.0,38.0,38.0,38.0,36.0,37.0,38.0,43.0
38.0,1547952.0,39.0,34.0,36.0,40.0,37.0,38.0,36.0,40.0,37.0,41.0
39.0,1640509.0,41.0,33.0,35.0,45.0,38.0,39.0,40.0,40.0,39.0,42.0
40.0,1707853.0,39.0,37.0,36.0,40.0,37.0,40.0,40.0,40.0,38.0,41.0
46.0,1727929.0,44.0,38.0,43.0,56.0,42.0,45.0,44.0,43.0,43.0,43.0
52.0,1675496.0,46.0,42.0,47.0,59.0,47.0,46.0,47.0,45.0,48.0,47.0
54.0,1564620.0,49.0,46.0,52.0,64.0,49.0,50.0,54.0,48.0,51.0,53.0
55.0,1457418.0,54.0,50.0,57.0,54.0,56.0,53.0,61.0,52.0,57.0,59.0
56.0,1365346.0,58.0,52.0,60.0,57.0,59.0,56.0,62.0,55.0,60.0,61.0
56.0,1333483.0,61.0,54.0,62.0,58.0,61.0,61.0,64.0,60.0,62.0,62.0
56.0,1328894.0,60.0,55.0,62.0,58.0,63.0,62.0,64.0,61.0,64.0,61.0
54.0,1408515.0,59.0,54.0,61.0,57.0,61.0,61.0,62.0,61.0,63.0,60.0
51.0,1615330.0,56.0,52.0,57.0,55.0,55.0,60.0,60.0,59.0,58.0,59.0
50.0,1635010.0,55.0,45.0,53.0,61.0,53.0,55.0,56.0,55.0,56.0,57.0
50.0,1575527.0,54.0,46.0,52.0,60.0,52.0,52.0,56.0,54.0,54.0,55.0
49.0,1514277.0,54.0,46.0,53.0,59.0,50.0,52.0,54.0,53.0,53.0,55.0
49.0,1437250.0,53.0,46.0,51.0,60.0,50.0,51.0,49.0,53.0,51.0,57.0
51.0,1413684.0,50.0,44.0,50.0,61.0,48.0,48.0,52.0,51.0,51.0,54.0
49.0,1338485.0,52.0,46.0,52.0,60.0,50.0,52.0,47.0,53.0,51.0,54.0
50.0,1274666.0,50.0,47.0,52.0,61.0,48.0,52.0,47.0,51.0,50.0,49.0
51.0,1221776.0,50.0,46.0,50.0,60.0,46.0,51.0,51.0,48.0,51.0,50.0
